"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3099","Verify Valid Credentials @login","Google Chrome","2026-02-08","passed","2026-02-08","","login.spec.ts","",""
"","0","Verify Invalid Credentials","Google Chrome","2026-02-08","skipped","2026-02-08","","login.spec.ts","",""
